V1-A;V2-A;V3-A;V4-A;V5-A;V6-A;V7-A;V8-A;V9-A;V10-A;V11-A;V12-A;V13-A;V14-A;V15-A;V16-A;B1-A;B2-A;B3-A;B4-A;B5-A;B6-A;B7-A;B8-A;B9-A;B10-A;B11-A;B12-A;B13-A;B14-A;R1-A;R2-A;R3-A;R4-A;R5-A;R6-A;R7-A;R8-A
4641.79;1506.68;1456.49;1693.09;2278.02;1005.14;1246.04;1166.71;332.33;396.52;-60.10;326.09;126.11;151.42;-182.40;93.82;275.57;128.74;366.39;257.55;228.07;786.82;299.97;64.02;138.53;23.28;186.98;25.73;-55.25;-9.31;513.69;180.33;168.74;472.75;298.40;75.57;196.08;154.52
4335.80;1725.23;1803.72;2271.16;2688.61;1262.02;1351.68;1229.56;851.66;442.98;197.65;272.49;378.25;116.91;12.10;-4.90;166.20;-38.72;147.06;210.48;240.05;742.90;-102.48;131.19;-234.52;-122.49;81.90;111.47;-162.85;-214.53;-27.96;65.13;132.29;183.38;-113.08;140.53;-4.66;-68.08
4305.90;1599.81;1927.03;1209.86;2132.68;1218.85;1332.57;937.58;661.29;406.50;297.49;436.66;173.88;145.61;19.50;195.24;79.42;-21.32;253.22;222.05;390.16;662.97;190.65;339.27;31.74;183.92;-154.46;50.25;54.60;134.78;750.59;116.50;185.59;347.22;246.56;271.79;227.51;530.17
25420.93;71626.83;116695.52;82386.87;56728.30;22505.63;13986.12;8015.59;4122.71;2507.13;1290.58;609.99;983.89;35.59;27.16;-9.24;165.90;284.22;722.25;622.04;536.68;2065.09;-32.15;-70.09;147.39;251.76;162.65;14.48;287.00;260.45;528.58;-210.46;-74.82;508.83;118.11;106.17;-133.15;130.13
4461.04;1620.95;2201.08;1521.08;2191.92;1348.25;1398.04;1174.77;595.51;564.62;172.04;72.70;461.50;155.28;35.15;102.22;-90.30;148.61;215.96;131.09;432.72;736.56;85.23;-28.04;472.58;-88.61;207.53;-41.53;91.56;142.57;345.08;-45.99;25.78;105.34;-132.33;169.03;-125.83;-57.88
6613.84;3038.63;3218.66;2888.82;4009.16;2744.84;2385.37;1769.26;1397.00;993.80;387.82;327.82;481.91;101.25;61.08;-323.38;3.21;153.23;298.98;289.69;269.93;895.38;-90.62;143.88;-183.89;41.22;233.42;-29.81;-209.13;67.82;351.10;162.99;291.46;222.26;51.42;60.44;144.28;269.63
9547.80;3260.07;2952.25;2930.29;4002.43;2178.33;2025.67;1799.50;1338.83;716.99;567.26;353.49;383.66;198.97;257.95;117.57;-136.29;173.84;240.26;436.44;363.56;1240.11;397.51;22.51;-67.97;40.30;207.06;-136.56;-125.74;271.95;644.25;-11.67;131.31;-75.44;51.63;-197.94;-121.16;-167.37
13173.54;37828.50;64791.54;45480.49;29672.65;11187.59;6983.14;4219.09;2258.94;1187.27;692.63;253.30;361.75;138.71;240.31;-53.16;97.45;22.07;491.99;247.38;168.61;1013.44;215.29;80.82;92.85;-57.32;-27.39;123.99;-43.84;194.23;252.20;19.26;-53.34;161.85;180.42;79.59;176.61;24.43
26655.76;76141.17;126406.34;89283.85;60643.10;23483.08;13904.37;8910.30;4193.11;3083.00;1185.14;1052.57;918.13;314.47;64.00;-8.60;-125.71;427.23;595.89;447.92;657.46;1624.82;26.94;284.97;146.48;-246.70;-156.05;-77.18;-138.87;47.29;415.51;434.72;165.26;89.25;146.64;159.88;79.26;441.41
12124.59;36921.21;61112.20;42383.82;29287.61;11196.26;7184.90;4556.52;2085.51;1263.01;468.75;400.22;139.23;-58.56;-120.90;54.20;-126.80;65.67;312.71;385.78;205.06;445.29;211.39;297.07;151.88;80.64;-163.17;61.34;90.87;47.13;674.61;305.72;240.63;557.38;195.51;177.72;-98.00;454.87
