V1-A;V2-A;V3-A;V4-A;V5-A;V6-A;V7-A;V8-A;V9-A;V10-A;V11-A;V12-A;V13-A;V14-A;V15-A;V16-A;B1-A;B2-A;B3-A;B4-A;B5-A;B6-A;B7-A;B8-A;B9-A;B10-A;B11-A;B12-A;B13-A;B14-A;R1-A;R2-A;R3-A;R4-A;R5-A;R6-A;R7-A;R8-A
3829.87;1849.97;2144.27;1602.53;2557.89;1321.74;958.89;1398.04;731.64;684.15;761.55;217.38;113.62;106.03;24.96;146.38;205.56;97.56;198.23;366.58;611.99;800.56;38.36;480.77;502.19;-25.11;-64.53;-34.25;32.87;171.63;184.29;-82.21;180.19;-131.18;125.16;-66.31;-121.00;99.16
4228.03;1695.27;1676.54;1288.95;2332.31;1470.60;9069.03;146453.80;93832.01;49926.23;15692.44;8060.73;6307.79;1561.91;809.65;294.29;287.28;772.67;32362.16;466876.31;333255.13;244936.98;15282.52;41567.73;26996.92;19080.30;8380.11;3879.60;3946.49;2443.57;378.55;48.72;52.19;503.67;330.03;-73.44;61.26;109.36
3694.35;1300.70;1522.69;1404.93;1965.07;743.41;885.69;1052.27;639.51;417.09;312.52;2.29;-28.36;287.97;62.61;-82.85;251.56;81.61;142.65;-199.77;195.86;1139.40;-152.52;448.67;-151.38;344.79;91.44;10.72;361.86;-58.79;524.29;145.33;430.05;349.13;526.41;279.99;55.28;213.34
3628.48;1348.32;1734.40;1629.83;1976.54;1026.79;1009.51;851.67;466.34;506.64;531.35;424.56;345.43;181.07;196.74;243.14;196.46;244.23;129.56;129.27;15.76;897.80;58.28;-254.01;102.44;206.20;217.28;19.13;104.17;-48.11;359.84;24.38;-134.46;-235.10;15.30;88.16;29.50;52.74
3757.61;1663.32;1970.29;1626.43;2372.30;1096.99;1425.92;1348.38;753.17;518.16;116.41;257.28;21.45;333.03;-59.14;-66.86;166.98;201.72;164.43;441.34;252.67;963.95;90.62;123.29;-98.76;206.24;-16.06;177.33;95.24;350.10;478.46;36.43;-135.10;173.02;-68.74;-28.62;115.39;225.90
4226.79;1391.33;1462.20;1092.18;2134.21;1649.95;9406.37;145779.89;92859.70;49693.46;15749.18;7849.01;5755.58;1741.45;991.92;617.23;210.81;1067.90;33208.02;490606.81;355264.13;258609.78;15780.39;43924.18;30010.23;20817.42;8106.30;4183.64;3535.95;2683.76;578.82;-37.73;-301.54;-139.63;-174.44;40.23;-205.66;-188.21
3980.25;1721.66;1882.07;1467.67;2411.41;1373.01;9188.68;144036.27;91117.23;50038.77;16071.04;6807.85;6583.54;1550.82;683.04;478.36;107.64;975.19;33043.37;486194.06;351312.50;253167.59;15973.21;40979.84;28826.37;20534.01;9201.10;3480.01;4788.06;2076.61;375.15;86.20;383.13;451.63;9.28;312.84;348.67;490.72
688.95;824.71;1522.08;1528.93;2766.97;1541.02;1782.49;1847.85;1218.82;1038.69;678.07;394.77;410.15;213.26;13.58;155.26;58.00;565.66;511.88;711.96;874.86;1292.97;163.57;-4.98;47.81;520.34;21.23;49.61;49.72;168.77;-23.34;-188.51;-137.44;-87.02;-334.36;-180.06;-201.03;-165.21
3673.02;1678.26;1705.76;1494.88;2115.93;1219.99;1138.85;1259.54;642.88;461.76;263.95;330.54;401.03;15.49;33.67;77.59;86.79;156.23;230.67;256.78;-35.26;868.77;-287.52;173.88;17.44;-9.57;-176.36;-20.61;111.29;-115.07;328.43;-258.26;-17.36;-74.14;-126.48;-134.01;-300.84;-84.15
3857.58;1496.56;1946.33;1604.67;1964.38;1331.08;8947.59;135093.31;87658.92;46927.94;14481.46;7305.15;5595.19;1620.47;777.92;148.75;269.24;1135.78;30949.92;448753.72;320440.56;235690.38;13930.85;39223.61;26149.24;17538.01;8000.30;2969.52;3361.37;1837.09;678.86;300.77;175.46;543.56;276.30;274.87;379.40;420.89
4234.33;1928.98;2124.13;1740.88;2502.24;1639.26;10452.96;157517.77;99873.33;54742.00;17801.57;8829.66;7105.22;1977.84;983.55;127.90;271.06;836.10;30693.69;448250.03;316475.47;229848.13;14625.84;40004.64;27318.17;18171.68;7509.14;3738.08;3471.94;1857.19;553.18;-32.78;153.94;240.38;-43.05;-26.78;-214.87;263.23
3765.07;1192.41;1410.26;1282.50;2028.86;1183.62;7837.40;131542.91;83273.38;45519.02;14179.11;7177.86;5990.10;1585.92;585.11;223.61;167.98;885.16;30065.99;452054.72;327999.69;234854.80;14840.50;40282.40;28922.17;19674.34;8703.29;3504.86;3829.19;2220.04;387.59;-198.12;227.32;333.00;215.76;143.44;106.68;1.71
3605.43;1751.50;1458.42;1347.24;2157.84;1083.40;1119.66;901.77;591.02;613.02;335.25;118.96;201.45;150.13;120.30;7.96;226.28;0.88;415.26;61.60;574.36;1002.85;49.18;157.44;269.71;34.76;125.59;159.04;169.54;-12.28;121.69;32.23;68.40;262.68;59.55;138.81;205.29;191.07
