V1-A;V2-A;V3-A;V4-A;V5-A;V6-A;V7-A;V8-A;V9-A;V10-A;V11-A;V12-A;V13-A;V14-A;V15-A;V16-A;B1-A;B2-A;B3-A;B4-A;B5-A;B6-A;B7-A;B8-A;B9-A;B10-A;B11-A;B12-A;B13-A;B14-A;R1-A;R2-A;R3-A;R4-A;R5-A;R6-A;R7-A;R8-A
4850.63;2034.12;2304.61;2145.55;3120.82;1684.13;1737.08;1296.53;878.67;1893.27;71348.71;22860.49;26223.00;11223.47;4143.19;2049.82;50.24;123.54;450.36;244.48;493.58;1661.20;1828.21;7218.72;3282.20;2646.02;1964.18;950.09;500.41;436.07;509989.16;123392.95;76945.53;196425.20;119749.05;31412.38;15044.07;32015.59
3870.56;1516.37;1621.05;1719.43;2252.56;1266.75;1017.50;1104.47;561.42;1170.30;45603.21;15117.90;16508.62;7158.24;3186.68;1606.78;160.18;-110.77;193.95;-46.39;160.55;966.01;1689.86;6171.79;2385.76;2058.76;1615.27;687.26;834.77;181.17;431980.13;102031.24;65482.98;169718.36;99779.27;26834.08;13159.99;27659.81
3814.75;1407.26;1541.91;1428.04;2069.55;873.03;1013.33;754.90;855.20;1300.86;48282.57;14397.55;17970.84;7181.50;2683.38;1641.58;357.63;157.68;487.67;96.41;88.57;1265.90;1615.73;6473.16;2890.71;2774.46;1748.26;537.94;883.69;538.74;448164.66;103044.80;67894.02;174373.75;105740.27;28409.92;13516.93;28817.56
4318.11;2948.69;2942.90;2492.57;3618.65;1990.48;1853.00;1658.24;1009.48;1822.49;67947.45;21648.54;25855.87;10223.30;3652.88;2010.32;110.58;46.95;255.56;398.99;273.35;1506.40;1653.63;7377.58;2549.13;2401.12;1696.58;706.19;391.32;206.71;516035.41;120980.57;75999.68;198783.92;120083.20;30813.68;14541.01;30157.81
3759.33;1598.65;2109.53;1569.26;2275.66;1200.84;1101.90;799.82;567.86;644.89;381.27;155.31;-21.07;31.94;56.05;-59.31;-0.61;298.27;273.02;353.96;56.45;980.21;86.04;263.24;-27.06;-130.70;-74.15;-13.52;116.38;32.82;568.69;-61.61;104.26;22.79;-174.73;-172.43;48.16;3.96
3706.17;1923.59;1988.67;1480.49;1925.04;1407.41;1212.96;884.81;689.86;771.23;424.63;565.90;23.74;284.86;-59.22;119.06;-4.51;79.10;-2.21;207.39;168.16;809.42;260.80;238.26;-16.94;-110.41;158.87;52.73;-12.97;-132.87;288.91;-118.85;46.37;15.92;-178.85;-231.89;32.33;-218.44
4243.54;1962.95;1886.54;1584.92;2437.97;1505.43;1420.75;1084.58;489.20;688.59;785.06;261.94;169.34;141.49;190.65;214.25;-27.44;155.35;252.99;249.92;78.95;1233.81;213.29;172.97;295.95;36.07;321.64;-36.49;-169.66;209.92;-102.13;-109.82;-49.47;67.11;158.73;-102.93;100.54;-135.96
3345.87;1876.10;1655.44;1729.94;2428.52;1314.47;1195.68;927.67;725.25;375.64;532.51;145.11;105.91;71.76;41.03;-55.81;-107.20;200.58;179.55;246.75;351.58;970.39;-3.94;370.00;38.50;158.92;184.32;77.54;47.12;25.23;654.17;254.94;-59.38;235.54;212.50;296.60;269.33;273.02
8733.36;4181.14;4648.18;3540.67;5492.11;3416.73;3117.28;2280.21;1843.07;2695.89;100486.13;32028.25;37169.70;15585.06;5837.14;2785.99;411.73;400.50;709.74;714.18;793.86;2254.87;2980.17;12572.53;3712.74;4085.03;3529.08;1221.85;1003.23;825.55;859759.63;198327.50;127554.15;339858.75;198873.23;52557.59;24495.08;53998.70
6117.55;3295.03;3260.25;2724.88;4260.24;2766.53;2348.64;1982.66;1397.77;843.59;585.77;491.38;703.43;196.15;103.43;89.89;240.07;189.52;113.85;326.73;355.86;1270.05;-117.97;19.91;19.34;-211.02;44.81;-232.14;71.70;37.82;121.47;-61.69;-305.54;78.00;119.71;-92.18;230.74;-264.49
10453.43;8278.61;8177.79;7363.17;9609.82;5665.75;4990.17;4752.22;2991.01;2132.23;1409.19;823.18;1326.99;119.57;138.07;235.95;233.00;473.13;963.68;761.16;768.62;1811.22;344.03;18.86;118.74;305.33;294.09;-77.14;246.08;120.04;751.98;-350.24;-219.92;-74.79;-61.36;-6.32;-152.67;76.12
3625.56;1716.58;1653.82;1703.82;2173.85;1420.56;1766.60;844.44;637.78;1090.95;46909.80;15334.41;17021.55;7382.63;2965.23;1567.52;4.25;344.69;133.56;207.94;260.19;1235.49;1302.40;5623.63;1939.24;1938.86;2181.74;520.42;605.58;334.88;432694.47;101298.15;64247.92;170583.92;101334.77;25757.87;12567.73;26579.77
3600.85;1874.85;1757.61;1509.09;2178.97;1347.95;1334.57;745.74;577.15;445.01;-76.98;142.17;6.00;99.05;223.39;121.31;112.75;287.96;219.51;319.78;332.17;907.94;-8.20;439.67;-80.64;286.12;265.74;40.45;27.14;80.61;265.15;24.42;-138.80;154.78;257.45;125.85;-126.28;314.46
4732.55;2376.51;2453.94;2259.30;3240.82;1694.08;2044.60;1280.97;703.86;1546.29;58343.08;18709.68;21788.29;9391.32;3739.89;1716.07;85.92;65.98;156.29;555.04;524.61;1586.70;1829.79;6842.29;2820.74;2876.10;2214.90;754.48;613.67;347.40;497711.13;122773.00;73262.85;200077.34;116457.45;30757.87;14872.94;32230.48
3737.87;1776.30;1832.14;1677.57;2036.78;1297.47;1279.78;898.66;411.50;1500.18;48002.00;15513.19;18082.12;7036.80;2806.35;1150.60;111.45;156.27;-42.39;292.82;170.53;982.99;1484.00;5813.62;2395.52;3603.71;1766.79;330.17;753.54;642.27;450420.22;106361.70;67872.53;174941.44;103302.91;26959.11;12326.07;27884.61
4037.56;1725.23;1631.49;1720.78;2147.95;1511.53;1250.04;1042.68;642.02;491.52;549.26;546.58;37.03;93.15;195.18;52.32;118.17;-20.30;207.59;134.27;269.57;971.71;-72.09;144.34;34.15;259.97;-22.11;91.02;-29.90;312.32;327.84;156.20;243.91;13.08;273.45;-127.49;37.93;326.37
3535.06;1692.73;1827.36;1715.33;2286.02;1296.68;1196.90;1230.52;587.43;1113.90;45450.20;15354.94;17855.01;7091.87;2667.51;1347.45;142.14;136.67;373.01;415.87;57.18;863.70;898.91;6565.17;2198.41;1797.75;1327.70;171.21;387.48;240.50;440356.41;102746.51;65089.13;167367.72;98458.28;25532.41;12308.14;26422.06
4458.81;1847.43;2358.31;1434.27;2026.89;1354.87;1276.22;1036.72;652.43;1334.23;49939.27;15554.82;19397.82;7035.23;2870.98;1448.62;174.31;31.67;376.47;524.09;469.57;1008.60;1336.05;5768.60;2780.92;2580.25;1568.60;522.26;566.47;351.82;447829.44;99444.41;64905.41;168482.06;101386.03;26016.87;11878.00;28317.70
4421.55;1856.34;2237.67;1630.18;2536.23;1343.65;1333.74;1273.65;542.79;1271.63;46272.03;14863.13;18140.05;7010.93;2817.98;1434.32;7.37;176.53;182.61;155.24;549.66;975.82;1347.73;5556.73;2094.84;2411.72;1800.62;513.30;398.29;385.18;425460.19;98945.91;63738.32;166106.48;99931.06;27970.95;11831.76;26885.50
3821.86;1600.50;2005.34;1435.89;2300.24;1368.32;1175.49;1078.70;821.79;611.83;561.88;259.18;504.56;-30.61;124.70;109.33;207.90;68.71;430.29;340.66;135.35;865.89;96.10;476.30;336.18;138.95;63.89;-103.31;-34.63;209.76;489.68;228.59;230.00;-54.19;147.84;161.61;182.17;252.09
2992.77;1508.01;1428.86;1428.52;2087.36;906.59;1028.22;840.10;662.80;588.32;617.11;405.54;489.70;-19.98;116.07;-39.42;211.02;229.25;439.29;337.71;384.01;1017.41;-105.65;540.86;126.23;-31.93;179.78;76.18;4.84;61.64;141.36;-191.70;-5.40;-327.23;-84.79;-23.05;-108.56;244.22
4141.04;1726.78;2118.17;1724.18;2464.70;1513.98;1191.51;1255.29;919.42;1334.05;46259.45;14091.00;16599.29;6867.69;2724.79;1257.52;150.08;132.18;305.33;16.57;540.42;1295.71;1340.35;6578.64;1979.56;2094.79;1896.72;714.51;443.93;235.77;436609.03;102773.66;66892.18;168863.50;104812.61;26703.89;12805.06;27652.75
3877.89;1749.26;1826.31;1331.68;2039.45;1311.18;1242.57;1078.05;673.43;1480.84;50348.13;16705.51;18858.48;7621.26;2884.35;1365.37;-97.49;-34.18;159.71;148.11;281.42;1174.41;1212.24;6757.36;2278.14;2728.02;1556.19;561.55;310.86;500.88;453571.94;103216.85;67599.78;170938.63;104772.11;27544.64;13200.34;28339.07
3964.79;1489.71;1519.88;1474.30;2318.66;1160.09;1103.29;1211.59;455.67;815.59;469.74;76.85;248.97;141.58;95.64;128.78;12.40;104.25;408.02;177.25;84.88;870.82;254.55;250.54;-64.75;39.66;155.97;-152.32;-120.86;32.23;576.81;538.92;396.66;194.19;291.18;-24.89;173.17;646.75
3817.66;1769.24;1671.01;1690.08;2313.81;1287.52;1645.95;1024.97;769.59;578.03;229.43;357.38;231.40;260.44;16.58;-34.19;-83.53;-2.82;109.98;352.24;291.44;966.60;4.39;-60.04;363.02;117.07;104.80;-84.34;-110.17;-3.56;266.75;-249.74;139.10;27.50;116.54;315.26;185.81;15.05
4194.63;1656.99;1534.89;1624.94;2190.91;1263.20;1269.79;1063.93;529.18;646.34;434.40;432.12;66.64;-34.59;-44.04;48.70;9.28;400.32;313.07;433.21;451.21;986.64;114.53;198.40;72.88;105.55;335.83;-107.87;-360.54;131.65;559.19;242.64;162.66;-354.82;-233.04;-5.45;-121.53;369.00
3712.04;1491.18;2032.49;1314.54;2108.36;1198.52;1097.34;845.67;571.44;606.65;-20.67;317.14;172.59;78.45;25.80;68.23;212.97;-13.74;173.21;508.52;181.78;1040.65;102.12;-201.32;183.85;-11.84;289.75;141.48;-45.84;55.03;183.75;-189.60;140.46;-20.35;-22.31;-25.59;312.58;209.06
3792.69;1612.08;1783.80;1579.16;2244.20;1457.45;956.68;898.48;598.50;514.51;379.59;540.61;297.95;148.80;45.35;156.15;-47.81;147.73;391.82;361.09;571.81;703.51;161.26;-172.10;-81.69;130.30;-86.43;39.21;-84.99;381.86;284.03;-58.42;282.23;-514.39;-63.88;287.05;150.91;206.41
4220.20;1572.51;1894.88;1453.50;2951.77;1270.95;1118.27;1302.18;619.72;1812.78;50216.65;16647.80;17523.49;7923.77;2772.21;1196.08;289.79;179.57;301.90;135.81;264.51;706.88;1225.96;5751.71;2195.37;2307.85;1945.38;737.16;456.30;285.95;453813.66;105607.45;68026.43;176107.58;104014.56;26550.11;12850.65;29004.43
4086.56;1538.97;1317.47;1584.22;2461.16;1143.04;1268.32;1148.00;654.76;1413.23;49080.84;15774.48;18432.46;7575.74;2391.92;1103.59;68.36;336.90;261.14;163.91;704.70;1117.44;1510.89;6015.95;2455.18;2563.67;1602.15;554.39;742.69;331.05;454844.97;108911.52;66048.63;173834.00;103583.01;28531.46;13689.44;28592.43
6506.42;3546.78;4074.37;3139.09;4939.02;2568.46;2779.76;2143.86;1491.77;1448.00;570.10;266.83;587.40;458.45;334.18;-31.86;208.21;34.84;387.41;283.51;901.47;1492.66;137.85;605.56;129.41;59.91;-247.01;18.60;50.20;81.78;395.54;-11.46;-169.85;-253.01;-159.80;-106.00;-204.43;-143.91
4402.23;1674.38;2191.12;1677.53;2008.74;1219.73;1190.77;884.37;704.46;794.05;339.17;-16.68;631.72;137.67;-21.11;-67.46;-44.82;219.65;312.66;405.66;506.11;1059.64;-23.10;114.98;141.80;127.51;158.95;223.82;-91.88;257.32;153.89;-12.59;-271.56;-127.28;-254.94;118.43;-195.59;131.43
4288.77;1693.80;1824.68;1727.93;2778.78;1687.11;1609.74;930.69;855.11;1006.82;370.81;530.89;369.21;73.72;65.52;59.03;314.33;-88.18;255.87;408.79;454.54;846.95;-132.28;318.44;164.82;106.51;-50.02;138.44;75.34;60.90;648.29;117.50;162.28;210.88;-400.18;-9.23;9.90;103.90
3982.91;1584.09;1740.90;1433.49;2227.09;1064.08;1121.22;1119.38;711.85;1310.93;47291.29;15197.60;18546.20;7067.95;2457.15;1385.18;198.41;-63.29;135.32;405.89;415.54;1149.76;1683.34;5709.70;2286.82;2662.21;2036.58;751.64;659.78;483.94;445684.41;102829.72;67749.85;176579.44;105425.41;27385.62;13195.31;28489.43
533.64;751.38;1065.88;1120.52;1941.54;1335.76;1459.96;1122.05;816.05;732.99;353.46;96.69;414.19;152.83;153.26;-232.25;4.73;322.58;547.43;448.24;445.02;376.18;152.11;174.66;468.50;190.06;216.08;85.10;161.61;-22.61;203.43;180.20;41.18;174.69;163.26;29.20;80.73;187.89
4157.10;1550.90;1982.17;1514.20;2553.12;1240.28;966.57;947.44;784.54;1257.17;52702.32;16299.84;19434.09;8184.12;3112.23;1200.70;-168.41;324.78;217.31;348.60;395.13;1004.40;1346.51;6610.28;1988.00;1761.40;1578.73;530.82;315.62;428.75;435730.25;100839.68;65232.18;167579.66;100012.05;26008.05;12476.40;26275.70
3748.58;1958.26;1810.65;1507.96;2652.61;1359.73;1297.27;1368.98;849.41;1187.97;51138.10;16532.30;18670.44;7916.58;2576.86;1227.91;-274.23;30.52;97.88;465.80;597.18;1010.06;1714.27;5961.52;2047.85;2399.89;1552.45;700.23;675.76;233.66;443052.59;104221.42;65517.18;167947.28;98468.51;26403.93;12607.59;26164.30
3740.57;1705.99;1966.25;1885.24;2511.95;1233.05;1295.84;729.04;625.64;644.06;350.02;195.03;53.02;139.87;219.46;142.52;76.77;11.54;192.11;217.56;452.08;1076.76;356.48;-20.32;231.30;69.76;77.45;96.23;49.72;51.63;444.78;353.47;62.32;95.22;-212.58;-231.85;89.12;238.55
3686.39;1702.89;1652.28;1590.89;2116.27;1135.46;1043.72;1016.82;541.71;620.89;499.58;82.95;304.95;-52.58;78.76;-96.03;167.67;106.72;348.03;85.56;262.46;1240.06;2.81;98.54;155.29;-103.16;39.40;123.75;-82.39;153.36;430.69;267.53;283.30;310.94;-55.96;116.34;111.14;232.88
3758.00;1703.70;1900.23;1601.18;2429.92;1407.06;1399.87;915.40;729.44;483.65;252.07;70.46;188.87;65.16;162.78;96.76;78.94;171.25;286.83;138.90;417.54;977.51;-41.93;276.34;37.19;-111.97;191.47;-31.57;-95.16;336.37;469.50;-8.39;-100.26;-237.57;-123.71;-357.90;-28.97;-82.68
4144.13;1844.33;2041.57;1896.28;2594.68;1437.91;1202.89;975.22;752.17;1281.43;47326.16;15758.02;17637.11;7403.39;2727.07;1318.60;179.29;61.97;160.29;401.58;394.08;1073.75;1145.08;5651.80;1803.06;2272.33;1537.66;451.44;425.27;500.33;422180.81;100279.19;61247.62;167760.64;100266.50;25448.47;12270.82;27057.03
4314.21;1637.10;1802.31;1471.77;1884.88;1340.89;1284.77;727.81;494.87;512.44;474.78;9.64;343.39;-56.19;73.65;8.48;303.14;94.12;138.96;121.97;144.15;943.00;-71.69;54.15;90.18;118.35;-216.08;128.55;-160.57;98.64;218.27;300.30;-145.43;93.23;-124.95;-8.90;151.60;480.40
3838.65;1651.91;1669.61;1569.13;2351.43;1365.43;1267.75;1178.32;568.81;1122.34;49333.35;15461.75;17018.93;7108.19;2747.93;1195.84;203.57;106.19;251.73;94.82;426.02;1075.12;1286.51;6042.98;2159.41;2428.98;1661.79;390.34;837.77;346.58;441087.81;104267.63;66673.67;171042.94;104619.82;27178.13;12334.25;28739.77
4284.96;1808.12;1763.49;1754.22;2720.07;1517.92;1706.91;1232.76;791.93;1339.72;49246.94;15485.92;17933.77;7253.05;2832.62;1474.14;-12.87;240.35;251.87;331.45;98.13;1230.29;1167.95;5903.76;2393.97;3022.51;2118.48;438.80;386.48;168.22;441258.19;99592.42;65909.37;168311.08;101357.05;26985.85;12975.90;27740.13
2775.14;3266.96;5613.73;5324.49;9761.46;6503.50;6020.04;5524.17;4033.17;3410.11;2480.33;1184.97;1350.93;259.44;391.12;435.73;233.35;1125.12;1843.65;1832.35;1820.80;2617.26;116.38;751.68;740.61;603.73;370.90;111.35;63.89;176.67;620.91;197.36;213.96;190.41;144.09;242.92;192.73;610.82
3712.51;1433.05;1668.60;1279.71;2347.19;992.70;1340.43;1024.97;694.82;545.63;250.65;227.93;301.03;219.78;18.95;204.97;24.54;223.92;395.28;403.44;301.19;1094.15;202.56;1.14;235.84;157.17;88.38;46.29;51.60;457.50;203.17;226.40;69.93;221.20;-49.77;150.00;275.96;168.02
4166.23;1461.86;1605.47;1543.63;2019.85;1042.08;1325.93;1182.18;761.85;604.71;170.10;52.00;120.28;-83.72;-64.81;-61.64;53.58;-6.30;206.87;295.86;530.26;988.93;115.48;436.30;277.52;158.05;-13.52;-59.06;-185.67;-22.29;585.13;-63.91;74.40;380.53;56.74;46.95;269.45;-44.67
3792.86;1948.57;2057.45;1588.41;2551.46;1487.34;1278.00;1195.02;885.58;1764.55;47629.64;15083.40;17025.59;7155.29;2616.41;1573.87;344.45;235.86;233.24;323.55;337.18;896.71;1399.49;5576.23;2632.85;2036.28;1557.27;790.33;598.53;276.53;436651.59;99621.97;65472.13;168958.47;99112.90;25908.57;12086.12;25631.60
3426.31;1769.71;1763.49;1418.32;2420.82;1142.61;996.40;563.59;950.58;1393.40;47721.64;14919.24;18467.70;6608.71;2300.04;1285.49;197.24;277.00;321.89;180.16;553.04;895.29;1639.10;5528.51;2112.87;2385.42;1526.93;484.25;156.81;355.42;435208.25;102037.75;65773.67;163806.33;102737.91;26463.18;12462.45;25889.12
1140.95;1751.20;2583.09;2417.93;3894.71;2558.43;2267.71;1748.40;1440.73;970.68;781.23;70.67;471.95;114.91;94.04;15.51;43.44;269.73;556.24;286.24;556.59;497.48;161.40;196.07;-96.49;151.55;-33.83;49.85;258.33;198.73;125.05;73.94;100.56;259.67;104.09;-45.44;225.63;169.41
3803.23;1694.10;1651.01;1658.17;2399.38;1517.84;1092.78;1021.95;598.63;592.80;425.57;281.05;494.44;263.14;233.12;-15.67;130.78;-50.03;404.01;-43.53;499.28;978.74;-83.23;-10.91;5.95;240.64;91.16;-34.17;-3.88;-26.28;710.18;-31.85;31.56;208.32;-388.59;-114.65;-236.92;-263.27
4271.51;1671.07;1875.92;1334.60;1995.96;1081.87;1303.05;813.89;711.07;1061.59;46431.96;14386.53;16092.55;6585.99;2629.11;1418.77;403.41;184.24;172.31;69.72;385.79;933.00;1633.93;6642.47;1981.37;1930.53;2055.15;633.45;817.47;621.07;429844.88;99615.17;64490.76;165671.63;98539.44;26294.85;12367.60;26450.46
3904.27;1843.68;1972.96;1650.28;2895.16;1362.93;1639.52;1137.39;1055.20;1377.22;47558.69;15238.45;17500.30;6958.31;2935.75;1435.36;309.04;137.46;225.99;312.16;547.89;943.27;1486.62;5999.38;2453.77;2154.30;2120.03;501.13;263.02;347.05;436456.03;102152.98;64615.73;169503.42;98333.53;26391.58;12360.03;26816.40
3626.72;1359.60;1774.81;1663.75;2436.66;1345.76;1170.63;1151.46;690.50;485.27;285.65;309.36;280.33;220.48;95.98;158.80;259.10;49.46;431.06;334.44;450.21;957.15;312.06;78.13;368.74;156.49;31.69;101.91;-6.53;170.73;696.73;192.37;-90.86;-54.32;-315.43;231.03;167.40;289.42
4056.15;1743.49;1427.36;1611.82;2341.19;1278.84;1033.43;1122.18;764.19;867.33;43062.26;13638.39;15861.41;6400.93;2136.80;1178.56;167.02;174.90;300.11;304.71;343.10;887.62;1287.46;5469.93;2137.16;2129.63;1805.19;598.84;470.31;538.35;396020.75;92442.14;59770.27;157561.94;92758.27;23810.67;11790.44;25836.17
4123.95;1584.78;2236.79;1791.81;2004.49;1214.21;1017.46;948.93;887.74;1234.62;46029.77;15025.96;16419.37;6562.11;2144.97;1002.25;21.11;258.81;157.05;31.96;249.48;856.17;1574.93;6472.11;2325.14;2738.30;1692.20;564.31;675.60;797.12;432435.75;100580.88;66423.94;164311.88;99617.57;25115.54;12435.85;26011.13
3782.80;1726.35;1774.15;1446.39;2220.62;1368.89;1348.68;1202.87;807.40;472.04;493.34;293.37;108.08;80.49;225.59;-199.70;126.93;219.78;349.15;390.55;447.66;868.90;13.49;476.66;193.25;158.96;90.37;116.87;117.90;218.80;822.24;-160.85;-99.15;132.32;244.21;-36.99;45.34;357.74
4031.69;1677.40;1572.66;1441.47;2271.59;1197.69;983.20;945.11;563.97;1251.19;49732.96;16141.68;19110.78;7318.55;3080.46;1102.34;223.16;79.68;424.85;307.80;596.18;1097.17;1277.72;5691.89;2019.97;2412.56;2155.26;465.48;432.08;395.98;438950.00;98526.46;65872.74;173378.92;102131.38;25287.11;12396.86;27648.26
3717.74;1307.50;1855.74;1598.22;2122.84;923.68;1054.88;787.81;575.59;629.90;233.90;-53.25;202.41;200.96;209.52;-124.64;310.99;105.00;295.65;179.93;631.03;1030.47;174.85;156.57;215.27;161.83;175.01;142.96;-37.27;234.36;629.62;-101.26;-215.75;-0.81;40.08;-50.77;-173.41;72.73
3695.94;1515.98;1745.85;1583.22;2034.11;955.89;1389.88;846.81;666.26;1132.80;45987.49;14757.44;16864.38;6672.09;2708.00;1242.73;172.31;279.81;208.71;178.21;113.49;1129.95;1482.05;5562.12;1919.17;2717.97;2070.58;697.63;529.40;472.99;443982.03;106066.14;68377.23;168897.22;104410.25;26825.55;13185.69;28738.34
