V1-A;V2-A;V3-A;V4-A;V5-A;V6-A;V7-A;V8-A;V9-A;V10-A;V11-A;V12-A;V13-A;V14-A;V15-A;V16-A;B1-A;B2-A;B3-A;B4-A;B5-A;B6-A;B7-A;B8-A;B9-A;B10-A;B11-A;B12-A;B13-A;B14-A;R1-A;R2-A;R3-A;R4-A;R5-A;R6-A;R7-A;R8-A
4379.06;2076.19;2290.53;1730.02;3136.48;1486.99;1606.70;1091.94;944.57;827.94;1076.05;478.59;885.60;3799.44;17348.74;11998.41;83.01;185.12;352.31;169.90;446.93;600.88;60.50;458.58;44.41;102.92;183.68;764.53;3493.32;3050.99;10322.77;2299.50;1327.88;11478.67;15381.98;44671.83;88318.71;228581.77
4826.31;2039.20;1875.79;1944.28;2585.71;1577.83;1633.97;1119.42;650.31;490.68;338.86;242.84;193.25;172.39;268.19;240.21;-107.29;320.69;483.71;52.97;22.28;990.80;267.09;46.12;448.52;108.22;5.25;-230.98;225.43;-184.89;231.85;-61.06;-208.30;-65.37;-36.04;-57.20;-51.39;-9.59
4211.54;2043.42;1753.92;1613.04;2488.94;1365.17;1326.67;1128.40;657.27;614.91;1143.90;294.41;547.55;4139.53;15583.94;10855.89;203.00;-1.89;452.25;112.71;482.60;1162.04;101.26;120.41;240.29;621.35;530.92;1273.74;3993.13;3133.75;10170.68;2023.28;1693.91;12924.40;16343.99;44113.41;93005.20;229781.78
4238.61;1759.12;1775.29;1721.56;2242.84;1285.85;1099.30;865.52;774.73;647.44;1205.72;443.70;745.46;3747.07;16350.98;10614.88;-121.68;25.41;321.75;280.29;242.10;763.04;106.83;231.00;298.23;-23.08;434.19;1054.92;3301.48;2657.91;9100.87;2312.25;1639.03;12828.40;14660.60;44592.07;92051.87;228229.98
4096.46;1564.63;1719.84;2078.97;2440.86;1542.20;1420.58;911.15;572.70;672.90;1261.09;511.01;1035.83;3709.48;15676.03;10654.54;-42.57;155.96;158.63;353.82;671.26;690.95;-184.54;-33.65;604.03;223.98;740.96;1155.79;3069.01;3143.37;9914.70;2049.68;1678.25;12872.19;16175.12;45531.66;89803.78;228493.13
4491.28;1826.80;1811.88;1646.48;2422.74;1331.43;1460.48;1012.26;821.49;681.60;340.63;329.03;371.46;103.49;124.20;67.83;-233.65;254.67;253.89;188.19;155.76;661.87;-32.20;513.42;235.34;58.71;149.29;-111.39;215.86;24.64;227.01;-92.62;-164.19;-90.19;-26.19;21.98;-86.18;468.25
4892.57;2220.04;2091.01;1778.03;2338.61;1475.86;1438.07;1477.80;849.54;697.73;1078.16;153.06;912.71;3974.94;16810.50;11474.60;272.75;-46.16;249.80;65.41;330.62;570.52;54.84;-16.85;454.47;351.97;67.35;999.59;3648.48;3327.44;10137.21;2100.37;1391.47;12818.81;15291.83;46142.90;91397.78;231044.53
4249.24;1758.47;2128.21;1676.13;2422.88;1438.17;1335.13;1024.44;654.29;715.93;1091.42;399.79;769.57;3957.21;14224.84;10720.76;44.22;112.67;217.40;130.95;344.88;1034.17;20.11;213.15;-6.90;389.28;63.93;994.23;3936.32;3032.57;9523.36;1970.40;1447.36;12332.61;15489.24;44496.32;90023.19;225476.05
4074.65;1997.22;2195.07;1818.10;2108.01;1418.50;1355.32;1118.15;623.13;850.93;769.30;174.93;720.47;3982.54;15780.38;10996.04;152.03;149.44;592.83;305.03;49.75;977.33;99.85;154.75;99.76;482.35;163.17;1079.57;3930.84;3362.87;8983.26;2106.75;1345.61;11481.72;14293.91;45323.46;91138.11;227131.75
4775.42;2176.90;1870.92;1955.44;2642.11;1412.05;1197.29;1090.32;876.50;632.85;1360.15;662.47;912.17;4406.94;16965.16;11431.93;90.99;354.51;192.33;289.41;455.50;801.48;54.34;491.59;341.63;262.56;391.17;1327.08;3847.05;3044.10;10371.21;2078.25;1893.70;13527.11;16008.43;48759.40;95650.73;242178.63
7367.67;5083.21;4966.27;4681.89;6096.13;3613.00;3376.39;2670.64;1793.20;1199.98;793.63;534.26;688.44;257.90;292.09;9.48;176.91;56.33;527.80;558.13;303.79;1435.59;-112.22;142.10;509.63;226.33;-47.59;74.90;212.70;177.81;577.77;202.06;236.12;245.29;145.74;245.55;-16.37;353.34
4052.42;1988.57;2089.00;1598.96;2580.11;1593.51;1247.39;960.59;882.94;828.95;1314.65;820.50;917.96;3740.42;15791.04;10428.52;-74.91;338.53;397.80;222.78;289.48;551.03;48.14;311.00;400.75;427.90;315.24;1235.45;3059.56;2552.93;9641.85;2190.05;1301.33;11354.77;14978.21;45991.18;85714.05;218373.64
6629.73;3171.80;4060.16;3016.49;4673.11;2687.17;2335.57;2066.15;1519.82;1359.15;644.15;104.00;326.52;193.61;19.46;233.62;119.99;175.83;325.04;414.15;415.54;1121.55;-143.55;171.82;192.29;326.38;193.26;-202.41;-25.50;429.54;671.24;405.64;223.06;164.45;91.88;371.68;5.93;354.77
4461.68;1633.48;1955.68;1531.94;2257.02;948.35;892.16;945.07;914.28;462.42;481.84;-5.71;358.13;227.09;216.79;240.17;48.46;-45.37;238.05;198.27;70.52;1026.00;21.60;-355.25;181.85;428.02;140.82;29.85;11.65;-39.39;166.17;217.13;157.94;115.82;36.41;463.50;263.52;200.78
4370.49;1312.97;2065.74;1528.02;2114.79;1240.32;1110.24;1098.03;621.70;697.16;447.49;-153.58;172.84;3.20;105.12;271.79;285.67;131.83;346.68;315.20;152.71;721.31;-178.20;-65.11;88.22;442.93;107.23;191.57;236.88;209.21;584.59;155.06;65.80;554.21;10.80;196.63;315.16;396.17
4351.47;1613.16;1397.18;1304.69;2283.40;1117.80;1035.48;1075.11;538.30;350.27;331.12;85.33;334.02;307.74;-52.92;82.97;207.25;47.66;264.56;374.89;135.76;961.67;23.91;486.11;185.89;243.59;129.57;159.56;77.98;146.32;267.42;31.89;-107.36;61.75;71.75;184.24;41.29;299.45
3964.19;1868.40;1863.07;1486.73;2143.93;1074.95;1122.31;898.17;563.10;798.53;642.21;134.43;267.92;-91.12;-75.08;50.11;225.24;-3.48;507.47;156.83;424.70;911.41;0.05;9.63;-16.89;189.66;98.92;59.94;4.04;-40.01;51.59;-52.00;-23.40;-123.74;-244.79;1.27;-184.09;-4.85
4284.74;1688.42;1806.96;1633.14;2250.98;1134.59;1617.21;1256.82;505.24;735.36;520.12;384.14;416.31;178.08;375.04;140.07;169.71;234.58;164.79;117.74;149.25;737.56;72.68;-161.60;96.26;30.85;4.10;-105.07;-80.27;-36.81;187.91;-36.51;-10.17;59.07;-272.05;-134.21;-50.13;-93.09
12248.76;4857.04;4835.06;4779.87;6293.79;3542.58;3536.85;2922.39;1947.57;1761.21;3007.55;1228.07;2001.22;11022.42;43070.59;29442.42;275.61;263.61;173.75;519.91;909.26;2408.40;102.66;535.06;736.85;552.19;362.19;2166.26;8039.02;7635.55;21735.15;4310.77;3143.95;28534.06;36873.25;106986.88;219204.08;562633.81
4178.69;1421.43;1809.37;1622.24;2706.55;1339.27;1088.57;1095.09;650.96;785.21;602.22;322.20;368.50;225.22;145.98;174.51;195.98;268.89;211.14;129.82;-5.97;792.35;-117.42;-85.20;530.34;-24.12;-77.45;-197.73;-51.68;9.43;197.45;31.68;238.16;-56.96;-148.42;41.21;80.98;355.74
