V1-A;V2-A;V3-A;V4-A;V5-A;V6-A;V7-A;V8-A;V9-A;V10-A;V11-A;V12-A;V13-A;V14-A;V15-A;V16-A;B1-A;B2-A;B3-A;B4-A;B5-A;B6-A;B7-A;B8-A;B9-A;B10-A;B11-A;B12-A;B13-A;B14-A;R1-A;R2-A;R3-A;R4-A;R5-A;R6-A;R7-A;R8-A
3759.33;1598.65;2109.53;1569.26;2275.66;1200.84;1101.90;799.82;567.86;644.89;381.27;155.31;-21.07;31.94;56.05;-59.31;-0.61;298.27;273.02;353.96;56.45;980.21;86.04;263.24;-27.06;-130.70;-74.15;-13.52;116.38;32.82;568.69;-61.61;104.26;22.79;-174.73;-172.43;48.16;3.96
3706.17;1923.59;1988.67;1480.49;1925.04;1407.41;1212.96;884.81;689.86;771.23;424.63;565.90;23.74;284.86;-59.22;119.06;-4.51;79.10;-2.21;207.39;168.16;809.42;260.80;238.26;-16.94;-110.41;158.87;52.73;-12.97;-132.87;288.91;-118.85;46.37;15.92;-178.85;-231.89;32.33;-218.44
4243.54;1962.95;1886.54;1584.92;2437.97;1505.43;1420.75;1084.58;489.20;688.59;785.06;261.94;169.34;141.49;190.65;214.25;-27.44;155.35;252.99;249.92;78.95;1233.81;213.29;172.97;295.95;36.07;321.64;-36.49;-169.66;209.92;-102.13;-109.82;-49.47;67.11;158.73;-102.93;100.54;-135.96
3345.87;1876.10;1655.44;1729.94;2428.52;1314.47;1195.68;927.67;725.25;375.64;532.51;145.11;105.91;71.76;41.03;-55.81;-107.20;200.58;179.55;246.75;351.58;970.39;-3.94;370.00;38.50;158.92;184.32;77.54;47.12;25.23;654.17;254.94;-59.38;235.54;212.50;296.60;269.33;273.02
3600.85;1874.85;1757.61;1509.09;2178.97;1347.95;1334.57;745.74;577.15;445.01;-76.98;142.17;6.00;99.05;223.39;121.31;112.75;287.96;219.51;319.78;332.17;907.94;-8.20;439.67;-80.64;286.12;265.74;40.45;27.14;80.61;265.15;24.42;-138.80;154.78;257.45;125.85;-126.28;314.46
4037.56;1725.23;1631.49;1720.78;2147.95;1511.53;1250.04;1042.68;642.02;491.52;549.26;546.58;37.03;93.15;195.18;52.32;118.17;-20.30;207.59;134.27;269.57;971.71;-72.09;144.34;34.15;259.97;-22.11;91.02;-29.90;312.32;327.84;156.20;243.91;13.08;273.45;-127.49;37.93;326.37
3821.86;1600.50;2005.34;1435.89;2300.24;1368.32;1175.49;1078.70;821.79;611.83;561.88;259.18;504.56;-30.61;124.70;109.33;207.90;68.71;430.29;340.66;135.35;865.89;96.10;476.30;336.18;138.95;63.89;-103.31;-34.63;209.76;489.68;228.59;230.00;-54.19;147.84;161.61;182.17;252.09
2992.77;1508.01;1428.86;1428.52;2087.36;906.59;1028.22;840.10;662.80;588.32;617.11;405.54;489.70;-19.98;116.07;-39.42;211.02;229.25;439.29;337.71;384.01;1017.41;-105.65;540.86;126.23;-31.93;179.78;76.18;4.84;61.64;141.36;-191.70;-5.40;-327.23;-84.79;-23.05;-108.56;244.22
3964.79;1489.71;1519.88;1474.30;2318.66;1160.09;1103.29;1211.59;455.67;815.59;469.74;76.85;248.97;141.58;95.64;128.78;12.40;104.25;408.02;177.25;84.88;870.82;254.55;250.54;-64.75;39.66;155.97;-152.32;-120.86;32.23;576.81;538.92;396.66;194.19;291.18;-24.89;173.17;646.75
3817.66;1769.24;1671.01;1690.08;2313.81;1287.52;1645.95;1024.97;769.59;578.03;229.43;357.38;231.40;260.44;16.58;-34.19;-83.53;-2.82;109.98;352.24;291.44;966.60;4.39;-60.04;363.02;117.07;104.80;-84.34;-110.17;-3.56;266.75;-249.74;139.10;27.50;116.54;315.26;185.81;15.05
